session_id,model_name,application_domain,task_type,prompt_length,total_tokens,temperature,top_p,rag_enabled,latency_sec,hallucination_flag,user_satisfaction,estimated_cost_usd,successful_response
248,Llama 3.1,Legal,Code Generation,748,1579,0.38,0.69,0,8.18,0,4,0.0238,0
249,Qwen 2.5,Education,QA,196,1279,1.06,0.5,0,4.16,0,5,0.0028,1
250,Gemma 3,Finance,RAG,1771,2000,0.63,0.57,0,2.97,1,4,0.0172,0
251,Llama 3.1,Legal,Classification,1594,2700,1.22,0.94,0,7.2,0,4,0.0351,0
252,GPT-4o,Retail,Code Generation,1489,1686,0.32,0.87,0,9.24,1,4,0.0076,0
253,Qwen 2.5,Retail,Classification,796,988,0.53,0.71,1,7.37,0,4,0.0127,0
254,Mistral Large,Education,Code Generation,1605,2685,1.41,0.51,0,8.81,1,4,0.0145,0
255,Claude 3.7,Healthcare,Classification,121,634,1.18,0.9,0,2.22,1,5,0.008,0
256,GPT-4o,Healthcare,Translation,1922,3060,0.47,0.69,1,9.15,1,4,0.0481,0
257,Mistral Large,Healthcare,Code Generation,148,1194,0.02,0.61,1,7.58,1,4,0.0115,0
258,Qwen 2.5,Customer Support,Code Generation,1108,1446,0.81,0.58,0,2.24,0,5,0.0131,1
259,Mistral Large,Retail,Translation,1404,1924,0.96,0.66,0,5.37,0,4,0.0189,0
260,Gemma 3,Retail,Translation,122,423,0.46,0.87,0,6.13,0,5,0.0021,0
261,Claude 3.7,Healthcare,Classification,1613,1693,1.23,0.63,0,5.12,1,4,0.0165,0
262,Llama 3.1,Education,QA,1468,2511,1.46,0.81,0,5.9,1,5,0.0126,0
263,Mistral Large,Finance,Summarization,1841,1886,0.86,0.86,0,4.28,0,4,0.0198,1
264,Gemma 3,Education,QA,1917,2596,1.44,0.52,0,8.86,1,3,0.048,0
265,GPT-4o,Legal,Classification,1180,2256,0.56,0.75,0,8.71,0,5,0.0433,0
266,Qwen 2.5,Retail,Summarization,1594,2024,1.27,0.66,1,6.51,0,4,0.0326,0
267,Llama 3.1,Retail,Classification,960,1288,0.55,0.99,0,9.18,0,3,0.0121,0
268,Llama 3.1,Legal,RAG,1312,1961,1.26,0.94,1,9.26,0,3,0.0226,0
269,Qwen 2.5,Education,RAG,1978,2472,0.09,1.0,0,8.22,0,5,0.0281,0
270,Llama 3.1,Finance,Classification,1541,2723,0.13,0.55,0,3.17,1,4,0.0379,0
271,Llama 3.1,Finance,Translation,544,1491,1.28,0.96,1,3.95,1,4,0.005,0
272,Mistral Large,Education,RAG,233,1350,0.23,0.58,0,4.13,1,4,0.0214,0
273,GPT-4o,Coding,Summarization,552,1012,1.28,0.55,0,7.19,1,5,0.008,0
274,Claude 3.7,Coding,Translation,1993,2076,0.53,0.76,0,7.97,1,5,0.0361,0
275,Llama 3.1,Finance,RAG,521,667,0.14,0.55,0,7.04,0,5,0.0131,0
276,Qwen 2.5,Legal,Summarization,772,836,1.03,0.97,0,1.82,1,5,0.0046,0
277,Qwen 2.5,Legal,RAG,198,321,1.36,0.91,1,3.03,0,4,0.004,1
278,Claude 3.7,Retail,Translation,70,663,0.57,0.71,1,3.05,0,5,0.0031,1
279,Llama 3.1,Coding,Translation,513,712,0.97,0.75,0,7.73,1,4,0.0032,0
280,Claude 3.7,Retail,Classification,520,1522,0.95,0.9,1,7.05,1,4,0.0163,0
281,Gemma 3,Customer Support,Translation,805,944,0.41,0.51,1,5.86,0,5,0.0099,0
282,Mistral Large,Education,Summarization,486,955,1.46,0.55,0,5.93,1,4,0.0188,0
283,Claude 3.7,Finance,RAG,370,1110,0.35,0.66,0,6.42,1,5,0.0135,0
284,Claude 3.7,Finance,Summarization,1120,1180,0.46,0.75,0,2.3,0,5,0.0024,1
285,Llama 3.1,Customer Support,QA,707,771,1.08,0.96,0,7.67,1,3,0.0113,0
286,Llama 3.1,Coding,RAG,1743,2452,0.79,0.68,0,2.94,1,4,0.0109,0
287,Gemma 3,Finance,Summarization,1631,2010,0.96,0.74,0,4.71,1,4,0.0306,0
288,Llama 3.1,Coding,Translation,1502,2173,0.0,0.85,0,6.55,0,5,0.0422,0
289,GPT-4o,Customer Support,Code Generation,223,897,1.41,0.57,1,6.29,0,4,0.0161,0
290,GPT-4o,Coding,QA,1382,1913,0.96,0.94,0,5.41,1,5,0.0159,0
291,Mistral Large,Customer Support,Translation,108,903,0.58,0.87,1,7.89,1,4,0.0079,0
292,GPT-4o,Education,Summarization,1343,1404,1.14,0.61,1,5.4,0,4,0.0269,0
293,Qwen 2.5,Finance,Translation,1828,2836,0.56,0.87,1,6.75,0,5,0.0277,0
294,Gemma 3,Coding,Classification,1832,2986,0.65,0.53,1,5.07,0,5,0.0452,0
295,Gemma 3,Customer Support,Code Generation,619,750,0.36,0.52,0,5.43,1,4,0.0073,0
296,Mistral Large,Legal,RAG,1290,1477,0.9,0.6,1,2.01,0,5,0.006,1
297,Gemma 3,Legal,RAG,1842,2643,0.99,0.55,1,6.75,0,4,0.0265,0
298,Claude 3.7,Finance,Translation,549,1273,0.34,0.63,0,1.37,0,5,0.012,1
299,Qwen 2.5,Healthcare,Translation,134,1129,1.26,0.91,0,3.63,1,4,0.0103,0
300,Llama 3.1,Customer Support,Summarization,1179,2118,1.35,0.9,0,6.96,0,4,0.0418,0
301,GPT-4o,Healthcare,RAG,268,816,0.06,0.54,0,5.86,0,4,0.0123,0
302,Llama 3.1,Finance,Translation,1149,2239,0.6,0.66,0,3.79,1,5,0.009,0
303,Mistral Large,Education,RAG,1214,1819,0.87,0.98,0,2.5,0,5,0.0325,1
304,Mistral Large,Healthcare,RAG,1351,1665,0.73,0.8,1,2.18,1,5,0.0237,0
305,Gemma 3,Education,Classification,1831,2613,1.32,0.85,1,2.87,1,4,0.0437,0
306,Gemma 3,Education,Code Generation,1736,2371,0.74,0.85,0,3.14,0,5,0.0237,1
307,Claude 3.7,Customer Support,Summarization,863,1940,0.91,0.54,1,4.72,1,5,0.0325,0
308,GPT-4o,Finance,QA,144,558,0.47,0.75,0,1.44,0,5,0.0031,1
309,Qwen 2.5,Healthcare,Summarization,944,1998,0.08,0.68,1,2.93,1,4,0.0372,0
310,Qwen 2.5,Customer Support,Code Generation,772,1497,0.73,0.72,1,8.66,1,3,0.0271,0
311,Mistral Large,Retail,QA,195,676,0.43,0.69,0,1.71,0,5,0.0046,1
312,Gemma 3,Coding,Code Generation,1780,1817,1.17,0.88,0,2.49,0,4,0.0235,1
313,Claude 3.7,Legal,Translation,1326,1792,0.41,0.95,1,8.5,1,4,0.0254,0
314,Gemma 3,Education,Code Generation,219,850,0.01,1.0,1,8.01,1,4,0.0091,0
315,GPT-4o,Customer Support,Translation,675,1002,1.29,0.63,0,6.59,1,4,0.0063,0
316,Qwen 2.5,Healthcare,Translation,837,1388,0.99,0.84,1,6.87,1,5,0.0129,0
317,Qwen 2.5,Retail,Summarization,1460,2214,1.49,0.91,1,4.7,0,5,0.0381,1
318,Gemma 3,Legal,Classification,611,813,0.15,0.56,1,2.98,0,4,0.0049,1
319,GPT-4o,Customer Support,Code Generation,771,936,0.39,0.65,0,7.8,1,4,0.0051,0
320,Mistral Large,Finance,Classification,791,1221,0.79,0.71,0,7.98,0,4,0.0241,0
321,Llama 3.1,Retail,Summarization,1776,1914,1.07,0.89,1,6.22,0,4,0.0133,0
322,GPT-4o,Healthcare,Translation,1012,1858,1.18,0.89,1,2.47,1,4,0.0197,0
323,Qwen 2.5,Education,Classification,418,446,1.1,0.98,0,7.68,0,4,0.0029,0
324,Claude 3.7,Retail,Translation,274,904,0.15,0.75,0,2.93,0,5,0.0092,1
325,Mistral Large,Healthcare,Summarization,701,1106,0.65,0.84,1,2.12,1,4,0.0203,0
326,Mistral Large,Coding,Classification,469,1239,1.09,0.57,0,6.51,0,5,0.0201,0
327,Mistral Large,Healthcare,Translation,1589,1707,0.8,0.52,0,9.94,0,4,0.0162,0
328,Gemma 3,Retail,Translation,527,1408,0.71,0.58,1,6.28,0,5,0.0196,0
329,Claude 3.7,Finance,Classification,1445,1698,0.21,0.92,1,2.82,0,5,0.0186,1
330,Qwen 2.5,Legal,Classification,1712,1812,0.78,0.6,0,7.83,1,4,0.0333,0
331,Qwen 2.5,Healthcare,Classification,490,694,0.0,0.84,0,7.89,1,4,0.0023,0
332,Gemma 3,Education,Code Generation,1329,1553,0.35,0.99,0,4.17,1,5,0.0275,0
333,Gemma 3,Legal,Translation,650,953,0.64,0.56,0,7.65,0,4,0.0048,0
334,Mistral Large,Coding,RAG,559,1399,1.32,0.55,0,7.26,0,4,0.0143,0
335,Mistral Large,Customer Support,Translation,1648,1994,0.63,0.94,0,3.56,0,4,0.0367,1
336,Mistral Large,Legal,QA,1399,2408,0.66,0.81,0,8.03,0,5,0.0097,0
337,GPT-4o,Legal,Code Generation,139,1222,0.39,0.66,1,5.87,0,4,0.0179,0
338,GPT-4o,Coding,Summarization,1498,2661,0.37,0.67,0,7.35,1,5,0.0347,0
339,GPT-4o,Retail,Summarization,1045,1721,1.27,0.93,1,8.29,0,4,0.0335,0
340,Mistral Large,Education,QA,1137,2330,0.96,0.7,1,3.45,1,4,0.0406,0
341,Qwen 2.5,Education,Translation,1028,1234,1.12,0.51,0,4.63,0,5,0.0239,1
342,Claude 3.7,Retail,RAG,1161,1637,0.31,0.84,0,9.06,1,4,0.0131,0
343,Gemma 3,Retail,Translation,1477,2196,0.99,0.86,0,2.94,0,4,0.0294,1
344,GPT-4o,Customer Support,RAG,775,1014,1.05,0.52,1,2.45,0,4,0.0056,1
345,Claude 3.7,Healthcare,RAG,451,566,0.69,0.89,1,6.35,0,5,0.0097,0
346,Mistral Large,Customer Support,Translation,946,2052,0.99,0.98,0,2.43,1,5,0.0245,0
347,Gemma 3,Retail,RAG,999,1231,1.39,0.89,0,8.55,0,4,0.0158,0
348,Llama 3.1,Finance,RAG,867,1589,1.47,0.96,1,7.23,1,5,0.0161,0
349,Qwen 2.5,Education,Code Generation,1243,1674,1.05,0.87,0,4.09,1,4,0.0249,0
350,Qwen 2.5,Coding,RAG,281,1022,1.47,0.83,0,8.03,1,4,0.0128,0
351,GPT-4o,Coding,QA,1390,2480,1.12,0.92,0,4.17,1,4,0.022,0
352,Claude 3.7,Healthcare,Classification,419,566,0.4,0.89,0,8.4,1,4,0.0041,0
353,Qwen 2.5,Education,Code Generation,1677,2183,0.68,0.81,1,7.57,0,4,0.0357,0
354,Mistral Large,Customer Support,Summarization,1370,1416,0.07,0.69,0,5.16,1,5,0.008,0
355,GPT-4o,Finance,Summarization,1876,2498,0.95,0.85,0,5.41,0,4,0.0492,0
356,Gemma 3,Legal,Code Generation,1515,1864,0.77,0.69,0,5.44,1,4,0.0123,0
357,GPT-4o,Customer Support,Code Generation,1929,2953,0.23,0.58,1,5.13,0,5,0.0351,0
358,Llama 3.1,Finance,Code Generation,660,1792,0.79,0.98,1,5.09,0,5,0.0065,0
359,Qwen 2.5,Retail,Translation,689,943,0.5,0.65,0,8.47,1,4,0.0095,0
360,Claude 3.7,Customer Support,Classification,509,1054,1.44,0.84,1,3.34,0,5,0.0075,1
361,Claude 3.7,Retail,QA,1063,2135,1.2,0.72,1,1.87,0,4,0.008,1
362,Qwen 2.5,Customer Support,RAG,1293,1734,0.1,0.84,0,7.85,1,4,0.0254,0
363,Llama 3.1,Customer Support,Classification,1334,2033,1.23,0.54,1,7.22,0,4,0.0067,0
364,GPT-4o,Legal,Code Generation,1152,2095,0.11,0.91,1,8.75,1,4,0.0205,0
365,Qwen 2.5,Education,Translation,252,1004,0.8,0.82,0,5.34,0,5,0.0039,0
366,Mistral Large,Customer Support,Translation,187,527,0.42,0.96,1,3.41,0,5,0.0023,1
367,GPT-4o,Healthcare,Translation,614,1767,1.44,0.57,0,6.25,1,5,0.008,0
368,Claude 3.7,Finance,Summarization,1231,1684,0.59,0.77,1,2.4,0,5,0.0229,1
369,Gemma 3,Coding,QA,386,1530,0.33,0.92,0,2.2,0,5,0.0182,1
370,Gemma 3,Retail,QA,523,805,0.15,0.86,1,4.65,1,5,0.005,0
371,Mistral Large,Finance,QA,1853,3031,0.29,0.74,0,5.08,1,4,0.0501,0
372,Mistral Large,Legal,RAG,651,1407,0.37,0.61,1,6.78,1,3,0.0214,0
373,Qwen 2.5,Coding,QA,744,1050,1.16,0.74,1,1.98,0,5,0.0058,1
374,Claude 3.7,Retail,RAG,1499,1954,0.11,0.51,1,6.03,0,5,0.0233,0
375,Gemma 3,Retail,QA,1349,2320,1.16,0.68,0,3.63,1,4,0.0084,0
376,Claude 3.7,Coding,Summarization,1367,2300,0.36,0.98,0,9.57,0,3,0.028,0
377,Qwen 2.5,Finance,Translation,1517,1665,1.1,0.97,0,2.41,1,4,0.0103,0
378,Qwen 2.5,Customer Support,Classification,1869,2552,1.19,0.69,0,9.7,0,3,0.0496,0
379,GPT-4o,Retail,Classification,1719,2487,1.11,0.79,1,6.8,1,4,0.0452,0
380,Llama 3.1,Legal,Summarization,780,1787,1.46,0.61,1,4.34,1,5,0.0038,0
381,Qwen 2.5,Finance,RAG,481,1242,0.12,0.82,0,2.45,0,5,0.0207,1
382,Llama 3.1,Healthcare,Summarization,1671,2021,0.5,0.56,0,7.56,1,4,0.019,0
383,Mistral Large,Retail,Translation,1184,1544,0.89,0.57,0,5.68,0,4,0.0081,0
384,Mistral Large,Finance,Summarization,1315,1778,0.03,0.86,0,7.01,1,4,0.0353,0
385,Mistral Large,Retail,Translation,1710,2073,0.62,0.57,1,6.88,0,5,0.0169,0
386,Claude 3.7,Retail,QA,150,476,0.34,0.69,1,1.23,0,5,0.0025,1
387,Qwen 2.5,Coding,RAG,1807,2931,1.18,0.75,0,3.38,1,5,0.0532,0
388,Claude 3.7,Customer Support,Code Generation,1079,2086,0.63,0.94,0,6.99,1,5,0.0185,0
389,GPT-4o,Education,Translation,1869,2866,1.14,0.85,1,3.3,0,5,0.0527,1
390,Qwen 2.5,Customer Support,Classification,1805,2889,0.82,0.63,0,2.5,0,4,0.0398,1
391,Gemma 3,Coding,RAG,847,1964,0.54,0.58,1,6.34,1,4,0.0169,0
392,Gemma 3,Retail,Classification,1556,2721,0.31,0.78,1,6.49,0,4,0.0179,0
393,GPT-4o,Finance,Translation,1595,2529,1.06,0.87,0,8.86,0,5,0.0483,0
394,GPT-4o,Customer Support,Summarization,830,1646,1.18,0.9,0,6.03,0,5,0.0034,0
395,Mistral Large,Retail,Code Generation,975,1158,1.39,0.72,1,1.92,0,5,0.0174,1
396,Claude 3.7,Education,Summarization,1077,1996,0.43,0.98,1,1.99,0,4,0.0346,1
397,Llama 3.1,Healthcare,Classification,78,834,1.18,0.76,0,5.75,0,4,0.0017,0
398,Qwen 2.5,Customer Support,Translation,1606,1766,0.6,0.83,0,5.37,0,5,0.021,0
399,Gemma 3,Finance,RAG,1883,2834,0.87,0.67,0,8.91,0,5,0.035,0
400,Qwen 2.5,Legal,RAG,1046,2167,0.16,0.54,1,3.8,0,5,0.0268,1
401,Mistral Large,Coding,Summarization,1163,1239,0.73,0.62,1,4.3,1,4,0.0082,0
402,Qwen 2.5,Coding,Classification,1396,1955,1.05,0.9,0,5.16,1,4,0.0072,0
403,Llama 3.1,Legal,Code Generation,165,559,0.83,0.59,1,2.85,0,5,0.008,1
404,GPT-4o,Healthcare,QA,418,949,0.35,0.62,0,2.79,0,5,0.008,1
405,Claude 3.7,Customer Support,Classification,1394,2174,1.43,0.75,1,1.99,0,5,0.0236,1
406,Mistral Large,Retail,QA,1015,1297,0.27,0.88,0,5.46,1,3,0.0213,0
407,GPT-4o,Coding,Summarization,1039,2120,0.52,0.93,0,7.55,1,4,0.0305,0
408,Claude 3.7,Education,Classification,787,1930,0.87,0.66,0,5.96,1,4,0.0132,0
409,Llama 3.1,Retail,Code Generation,386,1226,0.75,0.61,1,6.15,1,4,0.0064,0
410,Llama 3.1,Legal,QA,478,899,1.22,0.86,1,7.07,1,3,0.0173,0
411,GPT-4o,Legal,QA,371,1005,0.63,0.57,1,7.63,1,4,0.0175,0
412,Claude 3.7,Customer Support,Classification,1424,2129,0.25,0.61,1,3.96,0,4,0.0181,1
413,Mistral Large,Customer Support,Code Generation,714,1316,0.03,0.56,0,7.86,0,4,0.0186,0
414,Mistral Large,Customer Support,QA,925,1635,1.33,0.69,0,3.59,0,5,0.0213,1
415,Gemma 3,Coding,Translation,172,1001,0.24,0.61,1,2.89,1,4,0.01,0
416,Qwen 2.5,Coding,QA,1076,1576,1.45,0.71,0,2.98,0,5,0.0298,1
417,GPT-4o,Healthcare,Classification,441,514,0.25,0.55,0,1.25,1,5,0.0059,0
418,Llama 3.1,Finance,Translation,1275,1801,0.23,0.83,0,8.7,1,4,0.018,0
419,Gemma 3,Retail,RAG,1727,2703,0.26,0.52,1,5.14,1,5,0.0317,0
420,Gemma 3,Legal,Translation,286,1378,1.45,0.85,1,1.94,1,5,0.016,0
421,Llama 3.1,Education,Classification,475,1116,1.21,0.72,0,3.65,1,4,0.0127,0
422,Claude 3.7,Finance,QA,970,1008,0.8,0.84,1,5.25,1,5,0.0165,0
423,Mistral Large,Finance,Classification,1132,1486,0.56,0.71,0,5.99,1,4,0.0203,0
424,GPT-4o,Finance,Summarization,172,1281,0.63,0.62,1,6.38,1,5,0.0121,0
425,Claude 3.7,Healthcare,Summarization,603,1279,0.17,0.73,0,4.49,1,4,0.0037,0
426,Gemma 3,Legal,Classification,219,423,0.42,0.56,0,3.89,0,4,0.0046,1
427,GPT-4o,Education,RAG,1619,1803,1.2,1.0,1,5.84,0,5,0.0345,0
428,Llama 3.1,Legal,RAG,156,201,0.81,0.59,1,7.38,1,3,0.0032,0
429,Gemma 3,Finance,Code Generation,516,1504,1.11,0.52,0,4.44,0,4,0.029,1
430,Qwen 2.5,Finance,QA,1501,2132,0.06,0.97,1,6.14,1,4,0.0383,0
431,GPT-4o,Retail,Code Generation,493,1323,0.95,0.66,0,2.12,1,5,0.0029,0
432,Qwen 2.5,Healthcare,QA,983,2026,1.03,0.58,0,7.44,0,4,0.0266,0
433,Qwen 2.5,Customer Support,Classification,738,1234,0.97,0.85,1,7.3,0,4,0.0149,0
434,Qwen 2.5,Legal,Translation,1659,1954,1.34,0.87,1,2.44,1,4,0.0053,0
435,Claude 3.7,Finance,QA,613,1592,0.81,0.75,1,5.39,1,4,0.027,0
436,Qwen 2.5,Finance,QA,1097,1118,0.23,0.65,1,3.63,1,5,0.0124,0
437,Claude 3.7,Finance,Translation,1279,1687,1.29,0.89,1,3.66,0,5,0.0185,1
438,GPT-4o,Legal,Summarization,589,874,0.48,0.82,0,1.8,0,4,0.0022,1
439,GPT-4o,Healthcare,Summarization,212,332,0.05,0.82,1,3.5,1,4,0.0043,0
440,Gemma 3,Customer Support,Code Generation,1352,2514,0.74,0.94,1,2.51,0,5,0.0453,1
441,GPT-4o,Healthcare,Code Generation,129,308,1.24,0.63,1,0.68,0,5,0.0059,1
442,GPT-4o,Customer Support,Code Generation,483,1646,0.8,0.59,0,4.91,0,5,0.0156,1
443,Qwen 2.5,Finance,Translation,1190,1579,0.54,0.73,0,6.88,0,4,0.0175,0
444,Qwen 2.5,Education,Translation,1238,2102,0.66,0.68,1,4.21,1,5,0.0205,0
445,Qwen 2.5,Healthcare,Classification,502,1448,0.84,0.61,1,6.8,1,4,0.0132,0
446,Qwen 2.5,Customer Support,Classification,1230,1704,0.02,0.57,1,8.68,0,4,0.0131,0
447,Gemma 3,Education,Translation,1892,1989,0.83,0.78,0,9.79,0,4,0.0096,0
448,Llama 3.1,Legal,Code Generation,521,699,0.35,0.91,0,1.57,1,5,0.0114,0
449,Gemma 3,Education,RAG,1449,2649,0.86,0.95,0,6.65,1,4,0.0425,0
450,Claude 3.7,Retail,Summarization,863,993,1.4,0.56,1,7.29,0,4,0.0027,0
451,Gemma 3,Customer Support,RAG,679,1877,0.75,0.61,1,1.44,1,5,0.0113,0
452,Qwen 2.5,Finance,Summarization,313,870,0.2,0.54,1,5.05,0,4,0.0096,0
453,Gemma 3,Coding,Translation,994,1510,0.84,0.74,0,6.53,0,4,0.0241,0
454,Gemma 3,Finance,Classification,193,918,0.17,0.71,1,3.29,0,5,0.0022,1
455,Qwen 2.5,Customer Support,QA,1272,1770,1.23,0.9,0,6.65,1,4,0.0154,0
456,Gemma 3,Legal,RAG,240,288,1.11,0.62,1,5.34,0,4,0.0047,0
457,Mistral Large,Retail,Code Generation,56,365,0.5,0.87,1,1.92,1,5,0.0051,0
458,Mistral Large,Coding,Classification,1088,2060,0.07,0.59,0,3.78,1,5,0.0044,0
459,Qwen 2.5,Healthcare,Classification,1367,2178,1.28,0.83,1,8.65,0,4,0.0193,0
460,Gemma 3,Legal,RAG,1002,1103,1.3,0.77,0,2.91,1,4,0.0127,0
461,Gemma 3,Legal,QA,1534,2580,0.24,0.67,0,4.86,1,4,0.008,0
462,Qwen 2.5,Retail,Code Generation,1943,2142,0.83,0.64,0,3.81,1,5,0.0244,0
463,Llama 3.1,Retail,Translation,1415,2354,0.34,0.62,1,3.16,1,5,0.0135,0
464,Llama 3.1,Education,QA,1410,1727,1.2,0.93,1,4.37,0,5,0.021,1
465,Mistral Large,Education,RAG,1151,1823,0.8,0.86,0,3.08,0,5,0.0172,1
466,Claude 3.7,Retail,Classification,1537,1941,1.4,0.95,0,9.4,1,3,0.0103,0
467,Claude 3.7,Customer Support,Translation,1250,1432,0.85,0.62,1,3.57,0,5,0.0151,1
468,Mistral Large,Customer Support,QA,970,1271,1.07,0.69,1,8.06,1,3,0.0077,0
469,Mistral Large,Customer Support,Translation,1905,2060,0.4,0.71,0,8.37,0,4,0.0395,0
470,Qwen 2.5,Education,RAG,1013,1118,1.03,0.93,1,8.39,1,4,0.0188,0
471,Llama 3.1,Retail,Translation,1262,2206,1.41,0.79,0,5.96,0,4,0.0393,0
472,Gemma 3,Legal,Summarization,820,1436,1.48,0.52,0,4.25,0,4,0.0257,1
473,Llama 3.1,Customer Support,Translation,875,1820,0.44,0.96,1,6.68,0,4,0.02,0
474,Qwen 2.5,Finance,RAG,1930,2001,1.34,0.77,1,5.68,1,4,0.0253,0
475,Gemma 3,Healthcare,Translation,194,400,0.38,0.85,0,7.52,0,4,0.004,0
476,Gemma 3,Retail,Code Generation,1458,2605,0.58,0.9,1,6.01,0,4,0.0412,0
477,Mistral Large,Education,Code Generation,1776,2426,0.23,0.93,1,3.82,0,4,0.0384,1
478,GPT-4o,Retail,RAG,380,1339,0.18,0.57,0,2.26,1,5,0.0147,0
479,Claude 3.7,Coding,Translation,497,530,0.33,0.83,0,4.36,1,4,0.0063,0
480,Claude 3.7,Education,Classification,1689,2006,1.24,0.52,0,3.47,1,5,0.0281,0
481,Mistral Large,Coding,Translation,1894,3086,0.13,0.55,1,10.32,0,4,0.016,0
482,GPT-4o,Education,RAG,747,905,1.4,0.55,1,3.47,1,5,0.0155,0
483,Qwen 2.5,Coding,Translation,285,733,0.18,0.93,0,3.12,1,5,0.0029,0
484,Claude 3.7,Education,Summarization,189,857,0.73,0.84,1,7.72,1,4,0.0106,0
485,GPT-4o,Healthcare,QA,1268,1764,0.84,0.76,0,6.71,1,4,0.0346,0
486,Qwen 2.5,Finance,QA,962,1075,0.94,0.56,1,8.02,1,4,0.013,0
487,GPT-4o,Coding,Classification,1321,2378,0.3,0.64,1,8.01,1,4,0.0376,0
488,Mistral Large,Legal,QA,709,1405,0.59,0.78,0,8.58,0,5,0.0261,0
489,Claude 3.7,Education,Translation,1332,2199,0.2,0.58,1,5.46,1,5,0.0066,0
490,GPT-4o,Education,RAG,1494,1649,1.02,0.78,1,2.21,1,5,0.0116,0
491,GPT-4o,Education,RAG,1293,1944,0.8,0.58,0,6.54,0,5,0.0149,0
492,GPT-4o,Customer Support,Summarization,187,1282,0.75,0.62,0,3.96,1,4,0.0052,0
493,Claude 3.7,Education,Classification,1880,2596,0.14,0.75,0,8.78,0,5,0.0394,0
494,Claude 3.7,Healthcare,QA,303,397,1.15,0.55,0,8.24,0,4,0.0059,0
495,Qwen 2.5,Coding,Classification,646,1622,1.4,0.84,1,5.64,0,5,0.0063,0
496,Mistral Large,Coding,QA,56,470,0.87,0.66,0,7.23,1,4,0.0054,0
497,Llama 3.1,Coding,Classification,568,1699,0.22,0.64,0,1.03,0,5,0.0131,1
